frame,t_s
714,5.712
715,5.72
716,5.728
717,5.736
718,5.744
719,5.752
720,5.76
721,5.768
722,5.776
723,5.784
724,5.792
725,5.8
726,5.808
727,5.816
728,5.824
729,5.832
730,5.84
731,5.848
732,5.856
733,5.864
734,5.872
735,5.88
736,5.888
737,5.896
738,5.904
739,5.912
740,5.92
741,5.928
742,5.936
743,5.944
744,5.952
745,5.96
746,5.968
747,5.976
748,5.984
749,5.992
750,6.0
751,6.008
752,6.016
753,6.024
754,6.032
755,6.04
756,6.048
757,6.056
758,6.064
759,6.072
760,6.08
761,6.088
762,6.096
763,6.104
764,6.112
765,6.12
766,6.128
767,6.136
768,6.144
769,6.152
770,6.16
771,6.168
772,6.176
773,6.184
774,6.192
775,6.2
776,6.208
777,6.216
778,6.224
779,6.232
780,6.24
781,6.248
782,6.256
783,6.264
784,6.272
785,6.28
786,6.288
787,6.296
788,6.304
789,6.312
790,6.32
791,6.328
792,6.336
793,6.344
794,6.352
795,6.36
796,6.368
797,6.376
798,6.384
799,6.392
800,6.4
801,6.408
802,6.416
803,6.424
804,6.432
805,6.44
806,6.448
807,6.456
808,6.464
809,6.472
810,6.48
811,6.488
812,6.496
813,6.504
814,6.512
815,6.52
816,6.528
817,6.536
818,6.544
819,6.552
820,6.56
821,6.568
822,6.576
823,6.584
824,6.592
825,6.6
826,6.608
827,6.616
828,6.624
829,6.632
830,6.64
831,6.648
832,6.656
833,6.664
834,6.672
835,6.68
836,6.688
837,6.696
838,6.704
839,6.712
840,6.72
841,6.728
842,6.736
843,6.744
844,6.752
845,6.76
846,6.768
847,6.776
848,6.784
849,6.792
850,6.8
851,6.808
852,6.816
853,6.824
854,6.832
855,6.84
856,6.848
857,6.856
858,6.864
859,6.872
860,6.88
861,6.888
862,6.896
863,6.904
864,6.912
865,6.92
866,6.928
867,6.936
868,6.944
869,6.952
870,6.96
871,6.968
872,6.976
873,6.984
874,6.992
875,7.0
876,7.008
877,7.016
878,7.024
879,7.032
880,7.04
881,7.048
882,7.056
883,7.064
884,7.072
885,7.08
886,7.088
887,7.096
888,7.104
889,7.112
890,7.12
891,7.128
892,7.136
893,7.144
894,7.152
895,7.16
896,7.168
897,7.176
898,7.184
899,7.192
900,7.2
901,7.208
902,7.216
903,7.224
904,7.232
905,7.24
906,7.248
907,7.256
908,7.264
909,7.272
910,7.28
911,7.288
912,7.296
913,7.304
914,7.312
915,7.32
916,7.328
917,7.336
918,7.344
919,7.352
920,7.36
921,7.368
922,7.376
923,7.384
924,7.392
925,7.4
926,7.408
927,7.416
928,7.424
929,7.432
930,7.44
931,7.448
932,7.456
933,7.464
934,7.472
935,7.48
936,7.488
937,7.496
938,7.504
939,7.512
940,7.52
941,7.528
942,7.536
943,7.544
944,7.552
945,7.56
946,7.568
947,7.576
948,7.584
949,7.592
950,7.6
951,7.608
952,7.616
953,7.624
954,7.632
955,7.64
956,7.648
957,7.656
958,7.664
959,7.672
960,7.68
961,7.688
962,7.696
963,7.704
964,7.712
965,7.72
966,7.728
967,7.736
968,7.744
969,7.752
970,7.76
971,7.768
972,7.776
973,7.784
974,7.792
975,7.8
976,7.808
977,7.816
978,7.824
979,7.832
980,7.84
981,7.848
982,7.856
983,7.864
984,7.872
985,7.88
986,7.888
987,7.896
988,7.904
989,7.912
990,7.92
991,7.928
992,7.936
993,7.944
994,7.952
995,7.96
996,7.968
997,7.976
998,7.984
999,7.992
